log_file	tool_version_line	command
outputs/denovo_master/NewHybrid_v3/hybrid_samples/populations.log	populations v2.60, executed 2022-07-05 20:35:29 (zlib-1.2.11	populations -P . -M ../../data/popmaps/NewHybrids_unknown_samples -r 1 --write-single-snp -O ./NewHybrid_v3/unknown_samples --genepop
outputs/denovo_master/NewHybrid_v3/pure_samples/populations.log	populations v2.60, executed 2022-07-05 20:37:40 (zlib-1.2.11	populations -P . -M ../../data/popmaps/NewHybrids_pure_samples -O ./NewHybrid_v3/pure_samples/ -W ./NewHybrid_v3/unknown_samples/unknown_samples_whitelist.tsv -r 0.8 --genepop --write-single-snp
outputs/denovo_master/NewHybrid_v3/unknown_samples/populations.log	populations v2.62, executed 2022-08-23 16:08:32 (zlib-1.2.11	/home/dsalvi/programs/stacks-2.62/populations -P . -M ../../data/popmaps/NewHybrids_unknown_samples -r 1 --write-single-snp -O ./NewHybrid_v3/unknown_samples --vcf --vcf-all -t 24
outputs/denovo_master/NewHybrid_v4/pure_samples/all_loci/populations.log	populations v2.60, executed 2022-08-24 14:19:18 (zlib-1.2.11	populations -P . -M ../../data/popmaps/NewHybrids_pure_samples -r 0.8 -p 2 -O ./NewHybrid_v4/pure_samples/ -t 24 --genepop -W ./NewHybrid_v4/whitelist/whitelist.tsv --vcf
outputs/denovo_master/NewHybrid_v4/unknown_samples_top50/populations.log	populations v2.60, executed 2022-08-24 15:39:34 (zlib-1.2.11	populations -P . -M ../../data/popmaps/NewHybrids_unknown_samples -W ./NewHybrid_v4/top_loci/top_50_whitelist.tsv -O ./NewHybrid_v4/unknown_samples_top50/ --genepop -t 24 --vcf
outputs/denovo_master/NewHybrid_v4/whitelist/populations.log	populations v2.60, executed 2022-08-23 18:22:10 (zlib-1.2.11	populations -P . -M ../../data/popmaps/NewHybrids_unknown_samples -r 0.8 --write-single-snp -O ./NewHybrid_v4/ -t 24
outputs/denovo_master/populations_all_samples_NoLD/populations.log	populations v2.60, executed 2022-05-02 18:55:47 (zlib-1.2.11	populations -P . -M ../../data/popmaps/all_samples_refmap -O ./populations_all_samples_NoLD/ -t 8 --write-single-snp --vcf --plink -R 0.5
outputs/denovo_master/populations_diversity/all_loci_diversity/populations.log	populations v2.60, executed 2022-08-29 12:37:52 (zlib-1.2.11	populations -P . -M ../../data/popmaps/raf_sic_highqual -p 2 -O populations_diversity/all_loci_diversity/ -t 24 --min-mac 2
outputs/denovo_master/populations_diversity/missing_50/populations.log	populations v2.60, executed 2022-08-29 12:51:13 (zlib-1.2.11	populations -P . -M ../../data/popmaps/raf_sic_highqual -p 2 -r 0.5 -O populations_diversity/missing_50/ -t 24 --min-mac 2 --vcf
outputs/denovo_master/populations_diversity/no_missing/populations.log	populations v2.60, executed 2022-08-29 13:01:47 (zlib-1.2.11	populations -P . -M ../../data/popmaps/raf_sic_highqual -p 2 -r 1 -O populations_diversity/no_missing/ -t 24 --min-mac 2 --vcf
outputs/denovo_master/populations_diversity/raffonei/missing_50/populations.log	populations v2.60, executed 2022-08-29 15:46:57 (zlib-1.2.11	populations -P . -M ../../data/popmaps/raffonei_highqual -r 0.5 -O ./populations_diversity/raffonei/missing_50/ --write-single-snp -t 24 --vcf --genepop
outputs/denovo_master/populations_diversity/raffonei/missing_allowed/calculate_hwe/populations.log	populations v2.60, executed 2022-08-30 11:40:49 (zlib-1.2.11	populations -P . -M ../../data/popmaps/raffonei_highqual -O ./populations_diversity/raffonei/missing_allowed/calculate_hwe/ -t 24 --hwe
outputs/denovo_master/populations_diversity/raffonei/missing_allowed/in_hwe/populations.log	populations v2.60, executed 2022-08-30 11:46:18 (zlib-1.2.11	populations -P . -M ../../data/popmaps/raffonei_highqual -O ./populations_diversity/raffonei/missing_allowed/in_hwe -t 24 --vcf -B populations_diversity/raffonei/missing_allowed/calculate_hwe/hwe_blacklist.tsv
outputs/denovo_master/populations_diversity/raffonei/missing_allowed/populations.log	populations v2.60, executed 2022-08-29 15:53:21 (zlib-1.2.11	populations -P . -M ../../data/popmaps/raffonei_highqual -O ./populations_diversity/raffonei/missing_allowed/ -t 24 --vcf --genepop
outputs/denovo_master/populations_diversity/raffonei/no_missing/populations.log	populations v2.60, executed 2022-08-29 15:48:10 (zlib-1.2.11	populations -P . -M ../../data/popmaps/raffonei_highqual -r 1 -O ./populations_diversity/raffonei/no_missing/ --write-single-snp -t 24 --vcf --genepop
outputs/denovo_master/populations_fst/populations.log	populations v2.64, executed 2023-12-07 16:23:29 (zlib-1.2.11	populations -t 8 -P . -M ../../data/popmaps/pure_samples_raf_sic --fstats -p 2 -r 100 -O ./populations_fst/
outputs/denovo_master/populations_fst/whitelist_fst_0.9/populations.log	populations v2.64, executed 2023-12-07 16:54:07 (zlib-1.2.11	populations -P . -M ../../data/popmaps/samples_sic_raf_hybrid -r 100 -W ./populations_fst/fst_greater_than_0.9.whitelist.tsv --vcf -O ./populations_fst/whitelist_high_fst/
outputs/denovo_master/populations.log	populations v2.60, executed 2022-08-18 16:13:10 (zlib-1.2.11	populations -P . -M ../../data/popmaps/samples_simple -O . --vcf
outputs/denovo_master/populations_r90_minmac/populations.log	populations v2.60, executed 2022-05-02 20:36:34 (zlib-1.2.11	populations -P . -M ../../data/popmaps/capo_raf_vulc_sic -O . -r 0.9 --min-mac 2 -t 8 --genepop --vcf
outputs/denovo_master/populations_structure/fineRAD/round_1/populations.log	populations v2.60, executed 2022-06-17 15:28:34 (zlib-1.2.11	populations -P . -M ../../data/popmaps/no_intermediates -r 0.5 -p 2 --min-mac 2 --out populations_structure/fineRAD/round_1/ --vcf -t 24
outputs/denovo_master/populations_structure/fineRAD/round_2/populations.log	populations v2.60, executed 2022-08-25 13:04:05 (zlib-1.2.11	populations -P . -M ../../data/popmaps/samples_simple_fineRAD -W populations_structure/fineRAD/round_1/whitelist_pure_sic_raf.tsv --out populations_structure/fineRAD/round_2/ --fineRAD -t 24
outputs/denovo_master/populations_structure/round_1/populations.log	populations v2.60, executed 2022-06-16 19:30:57 (zlib-1.2.11	populations -P . -M ../../data/popmaps/no_intermediates -r 0.5 -p 2 --min-mac 2 --write-single-snp --out populations_structure/ --vcf -t 24
outputs/denovo_master/populations_structure/round_2/populations.log	populations v2.60, executed 2022-06-16 19:38:11 (zlib-1.2.11	populations -P . -M ../../data/popmaps/samples_simple -W ./populations_structure/round_1/whitelist_pure_sic_raf.tsv --out ./populations_structure/ --write-single-snp --vcf -t 24
outputs/denovo_master/populations_structure/round_4_raffonei_CG/populations.log	populations v2.60, executed 2022-08-18 17:51:13 (zlib-1.2.11	populations -P . -M ../../data/popmaps/raffonei_2015_2017 -W ./populations_structure/round_2/whitelist.tsv -O ./populations_structure/round_4/ --vcf --plink
outputs/denovo_master/populations_structure/round_5_siculus_vulc/populations.log	populations v2.60, executed 2022-08-18 18:11:12 (zlib-1.2.11	populations -P . -M ../../data/popmaps/siculus_2015_2017 -W ./populations_structure/round_2/whitelist.tsv -O ./populations_structure/round_5_siculus_vulc/ --vcf --plink
outputs/denovo_master/populations_structure/round_6_milazzo_vulcano/populations.log	populations v2.60, executed 2022-08-18 18:23:48 (zlib-1.2.11	populations -P . -M ../../data/popmaps/all_siculus -W ./populations_structure/round_2/whitelist.tsv -O ./populations_structure/round_6_milazzo_vulcano/ --vcf --plink
outputs/denovo_master/pure_raf_sic/2640_loci/populations.log	populations v2.60, executed 2022-06-16 16:08:15 (zlib-1.2.11	populations -P . -M ../../data/popmaps/raffonei_siculus_pure_samples -r 0.6 -O ./pure_raf_sic/ --vcf --plink
